genreCat,year,revenue
Drama,2015,0
Western,2015,0
Thriller,2015,52425855
Action,2015,1506249360
Thriller,2015,0
Documentary,2015,0
Action,2015,311256926
Family,2015,0
Thriller,2015,0
Crime,2015,0
Drama,2015,4842699
Comedy,2015,217022588
Comedy,2015,242786137
Documentary,2015,0
Documentary,2015,0
Drama,2015,0
Horror,2015,187112
Comedy,2015,104384188
Drama,2015,0
Drama,2015,0
Drama,2015,50363790
Comedy,2015,14431253
Drama,2015,0
Horror,2015,0
Horror,2015,0
Thriller,2015,0
Drama,2015,36606743
Drama,2015,0
Drama,2015,45710059
Documentary,2015,0
Comedy,2015,140795793
Comedy,2015,111811453
Comedy,2015,12314651
Horror,2015,0
Comedy,2015,194564672
Horror,2015,52882018
Drama,2015,61619773
Comedy,2015,0
Drama,2015,173567581
Drama,2016,0
Comedy,2016,183936074
Drama,2016,0
Thriller,2016,9930095
Horror,2016,320170008
Horror,2016,0
Drama,2016,94061311
Fantasy,2016,150680864
Fantasy,2016,299370084
Science Fiction,2016,543934787
Drama,2016,0
Adventure,2016,0
Horror,2016,0
Action,2016,46069568
Drama,2016,77000000
Drama,2016,15861566
Drama,2016,0
Horror,2016,0
Comedy,2016,108758521
Comedy,2016,94073028
Action,2016,14708696
Drama,2016,0
Drama,2016,6490401
Horror,2016,0
Comedy,2016,55969000
Thriller,2016,93282604
Family,2016,0
Comedy,2016,78636257
Drama,2016,23507567
